row_type,point_index,amoc_sv,c_k,eke_c_k,eke_c_eps,kappaH_min,sss_offset
POINT,234,-6.607635508082392,0.1373503583252191,0.377581206838081,0.3138253662916956,1.000000000000566e-07,0.5797405537816687
POINT,316,-6.608902932354488,0.2508137419360605,0.5,1,1.000000000000566e-07,0.5654227561863135
POINT,229,-6.619173211514128,0.116292059936168,0.3867461663642672,0.8367885627218699,1.000000000000566e-07,0.5788148938060124
POINT,265,-6.621062403608153,0.3,0.2127685998361156,0.1999306485972757,1.000000000000566e-07,0.5768863997595327
POINT,240,-6.627734071992482,0.3,0.3114492124609473,0.9437858628485263,1.000000000000566e-07,0.5673804016306877
POINT,300,-6.632775926739356,0.1604211223625714,0.01000000000000001,0.4442887374264713,1.000000000000566e-07,0.5839832752462124
POINT,248,-6.666599755103369,0.01407983609920599,0.4521039824897555,0.450956568910714,1.000000000000566e-07,0.5530665566553796
POINT,488,-6.667304192265102,0.01000000000000001,0.1715362172043776,1,1.000000000000566e-07,0.5804925228947363
POINT,258,-6.701281659637393,0.2944266157203051,0.1435110240399967,0.7134456739814995,1.000000000000566e-07,0.5617315980476365
POINT,491,-6.711729074108943,0.3,0.5,0.4116858480931202,1.000000000000566e-07,0.5468657309781142
POINT,478,-6.721967632827248,0.3,0.4046713536922755,0.01000000000000001,0.0001922151505564997,1
POINT,298,-6.727206437086223,0.1777511216035509,0.3719718576773762,0.01000000000000001,1.000000000000566e-07,0.4378485491875276
POINT,443,-6.736332469913849,0.3,0.01000000000000001,0.01000000000000001,1.000000000000566e-07,0.5584145565889739
POINT,242,-6.836237591600735,0.279205927555105,0.3141019084595413,0.4619738805470933,1.000000000000566e-07,0.5438656249525948
POINT,260,-6.878657171601514,0.2306272330154428,0.1410985303990568,0.01000000000000001,1.000000000000566e-07,0.5426349120355261
POINT,279,-6.922700003281934,0.1113534638749538,0.068638827946889,1,1.000000000000566e-07,0.5477138008600129
POINT,518,-6.931927238397793,0.01000000000000001,0.2643242551926374,0.4343906412643885,1.000000000000566e-07,0.5418524170771597
